ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU1714	3.931726908	5.871064468			1		12.03072197							
OTU1715			2.018556701							4.870646766	7.402646503			7.251851852
OTU172		2.935532234	1.009278351				3.007680492					3.054602184		
OTU1720										4.870646766	7.402646503	3.054602184		3.625925926
OTU1722	3.931726908				2								2.212429379	3.625925926
OTU17256	3.931726908					2.300822562	3.007680492	2.642375169						
OTU1729	3.931726908	2.935532234	7.064948454	3.059375	9	2.300822562					3.701323251			3.625925926
OTU173			2.018556701		1		6.015360983				3.701323251		2.212429379	
OTU1731	3.931726908	2.935532234	7.064948454	3.059375	4			2.642375169	6.245614035		3.701323251	6.109204368		
OTU1734	7.863453815		2.018556701		1									3.625925926
OTU17348			2.018556701	6.11875	2	6.902467685								3.625925926
OTU17370	3.931726908	2.935532234			2	2.300822562								
OTU174		2.935532234				2.300822562		2.642375169						3.625925926
OTU1750		2.935532234	3.027835052		4		3.007680492	2.642375169	6.245614035					
OTU1751					1			5.284750337	6.245614035			6.109204368		
OTU17555	3.931726908		1.009278351	3.059375	2	20.70740306								
OTU1758		2.935532234	1.009278351		1		3.007680492							
OTU1759	3.931726908		1.009278351	12.2375	4			18.49662618	15.61403509		3.701323251			
OTU176		2.935532234			3				3.122807018	4.870646766			2.212429379	
OTU1760	3.931726908	2.935532234	1.009278351		1		3.007680492							
OTU1766		2.935532234	1.009278351	3.059375				2.642375169	3.122807018					
OTU1769	3.931726908				1	2.300822562	3.007680492				3.701323251			
OTU177	23.59036145	8.806596702		3.059375	5				6.245614035	14.6119403	25.90926276		24.33672316	
OTU17820			2.018556701		1	6.902467685		2.642375169						
OTU17826	3.931726908		4.037113402					5.284750337	3.122807018			3.054602184		
OTU17869					1					4.870646766	3.701323251		2.212429379	
OTU1789			2.018556701		3	2.300822562	3.007680492	5.284750337	6.245614035		3.701323251			
OTU17906		2.935532234	1.009278351	3.059375	1									
OTU17924		2.935532234								4.870646766		3.054602184	2.212429379	
